latitude,longitude,temperature,salinity,turbidity,time,ts,depth
21.28556824,-157.8900757,23.55386543,33.9982605,1.24E-21,2019-02-18 00:00:00 HST,1550484000,0.25
21.28525925,-157.8897247,23.56089401,34.00101852,1.04E-21,2019-02-18 00:00:00 HST,1550484000,0.25
21.28495216,-157.8893738,23.56358719,34.00268555,8.39E-22,2019-02-18 00:00:00 HST,1550484000,0.25
21.28464508,-157.8890228,23.56044579,34.00230026,6.43E-22,2019-02-18 00:00:00 HST,1550484000,0.25
21.284338,-157.8886566,23.55809975,33.99929047,4.62E-22,2019-02-18 00:00:00 HST,1550484000,0.25
21.28403091,-157.8883057,23.53744125,33.9992218,3.18E-22,2019-02-18 00:00:00 HST,1550484000,0.25
21.28372383,-157.8879547,23.49310303,33.99887466,2.08E-22,2019-02-18 00:00:00 HST,1550484000,0.25
21.28341675,-157.8876038,23.4674015,34.00494766,1.26E-22,2019-02-18 00:00:00 HST,1550484000,0.25
21.28310776,-157.8872528,23.47409248,34.00425339,6.91E-23,2019-02-18 00:00:00 HST,1550484000,0.25
21.28280067,-157.8868866,23.48432541,34.00071716,3.39E-23,2019-02-18 00:00:00 HST,1550484000,0.25
21.28249359,-157.8865356,23.4947567,33.99700928,1.60E-23,2019-02-18 00:00:00 HST,1550484000,0.25
21.28218651,-157.8861847,23.50496864,33.99070358,7.61E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.28187943,-157.8858337,23.51330948,33.9848938,4.07E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.28157234,-157.8854828,23.52156258,33.98506546,2.71E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.28126526,-157.8851318,23.53137589,33.98801041,2.59E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.28095627,-157.8847656,23.54049873,33.99027634,3.01E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.28064919,-157.8844147,23.54752159,33.99069977,3.73E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.2803421,-157.8840637,23.55230522,33.98731232,4.65E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.28003502,-157.8837128,23.55222893,33.97529984,5.72E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27972794,-157.8833618,23.55608749,33.97336197,6.76E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27942085,-157.8829956,23.56415939,33.97709656,7.45E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27911377,-157.8826447,23.57107353,33.98683167,7.48E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27880478,-157.8822937,23.57108116,33.98815155,6.89E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.2784977,-157.8819427,23.56133461,33.98539734,5.93E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27819061,-157.8815918,23.53809166,33.9830246,4.70E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27788353,-157.8812408,23.53260231,33.98037338,3.51E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27757645,-157.8808746,23.5301609,33.97641373,2.74E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27726936,-157.8805237,23.52446938,33.96984863,2.49E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27696228,-157.8801727,23.49184227,33.96217346,2.71E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27665329,-157.8798218,23.4791069,33.95640945,3.09E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27634621,-157.8794708,23.47078896,33.9537735,3.21E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27603912,-157.8791046,23.46379852,33.95149994,2.83E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27573204,-157.8787537,23.46287918,33.94698715,2.10E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27542496,-157.8784027,23.46274376,33.94082642,1.42E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27511787,-157.8780518,23.46416283,33.93649292,1.09E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27481079,-157.8777008,23.46147346,33.93426895,1.14E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.2745018,-157.8773499,23.45665169,33.93281174,1.27E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27419472,-157.8769836,23.45449448,33.93254852,1.31E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27388763,-157.8766327,23.45268631,33.93310547,1.40E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27358055,-157.8762817,23.45055008,33.93263626,1.51E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27327347,-157.8759308,23.45722389,33.93054581,1.56E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27296638,-157.8755798,23.4595623,33.9300766,1.57E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.2726593,-157.8752136,23.46036148,33.93206787,1.55E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27235031,-157.8748627,23.45962334,33.93405151,1.50E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27204323,-157.8745117,23.45794678,33.933918,1.41E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27173615,-157.8741608,23.45595551,33.93242264,1.31E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27142906,-157.8738098,23.45359612,33.9299736,1.19E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.27112198,-157.8734589,23.45064926,33.9299736,1.08E-24,2019-02-18 00:00:00 HST,1550484000,0.25
21.2708149,-157.8730927,23.44710732,33.93100357,9.84E-25,2019-02-18 00:00:00 HST,1550484000,0.25
21.27050781,-157.8727417,23.4431591,33.93067169,9.16E-25,2019-02-18 00:00:00 HST,1550484000,0.25
21.27019882,-157.8723907,23.43863869,33.92821884,8.64E-25,2019-02-18 00:00:00 HST,1550484000,0.25
21.26989174,-157.8720398,23.43365479,33.92594147,7.80E-25,2019-02-18 00:00:00 HST,1550484000,0.25
21.26958466,-157.8716888,23.42830467,33.92514801,6.26E-25,2019-02-18 00:00:00 HST,1550484000,0.25
21.26927757,-157.8713226,23.42403221,33.92507553,4.76E-25,2019-02-18 00:00:00 HST,1550484000,0.25
21.26897049,-157.8709717,23.42182732,33.9239502,3.48E-25,2019-02-18 00:00:00 HST,1550484000,0.25
21.26866341,-157.8706207,23.41950035,33.92258835,2.23E-25,2019-02-18 00:00:00 HST,1550484000,0.25
21.26835632,-157.8702698,23.41682816,33.92132568,1.27E-25,2019-02-18 00:00:00 HST,1550484000,0.25
21.26804733,-157.8699188,23.41441154,33.92050552,7.44E-26,2019-02-18 00:00:00 HST,1550484000,0.25
21.26774025,-157.8695679,23.41315651,33.91994476,3.96E-26,2019-02-18 00:00:00 HST,1550484000,0.25
21.26743317,-157.8692017,23.41080284,33.91941452,1.72E-26,2019-02-18 00:00:00 HST,1550484000,0.25
21.26712608,-157.8688507,23.41205978,33.91899872,6.06E-27,2019-02-18 00:00:00 HST,1550484000,0.25
21.266819,-157.8684998,23.41380882,33.91900253,1.99E-27,2019-02-18 00:00:00 HST,1550484000,0.25
21.26651192,-157.8681488,23.41433144,33.91932297,8.34E-28,2019-02-18 00:00:00 HST,1550484000,0.25
21.26620483,-157.8677979,23.41417503,33.91967773,3.80E-28,2019-02-18 00:00:00 HST,1550484000,0.25
21.26589584,-157.8674469,23.41357613,33.92014694,1.68E-28,2019-02-18 00:00:00 HST,1550484000,0.25
