Model,Parameter,Time,Year,Month,Resolution,Ala Wai Canal,NOAA USC00516122 (Manoa),NOAA USW00022521 (HNL)
State,Temp,rcp85,2080,1,250m,26.82504926,25.93960189,26.03255361
State,Temp,rcp85,2080,2,250m,25.21217949,24.29785256,24.42836914
State,Temp,rcp85,2080,3,250m,25.64935363,24.67612527,24.82146861
State,Temp,rcp85,2080,4,250m,27.4883703,26.5541496,26.51393026
State,Temp,rcp85,2080,5,250m,27.64176896,26.41326416,27.0328715
State,Temp,rcp85,2080,6,250m,28.55495155,27.27241096,28.05074717
State,Temp,rcp85,2080,7,250m,29.41472537,28.1631436,28.86157888
State,Temp,rcp85,2080,8,250m,30.64101988,29.44767309,30.27366791
State,Temp,rcp85,2080,9,250m,30.70952293,29.48769706,30.24814504
State,Temp,rcp85,2080,10,250m,29.88368063,28.65711506,29.38254445
State,Temp,rcp85,2080,11,250m,28.66157494,27.69653535,28.04229635
State,Temp,rcp85,2080,12,250m,27.07863875,26.01421985,26.12709961
State,Temp,rcp85,2081,1,250m,26.15821904,25.35948592,24.99637248
State,Temp,rcp85,2081,2,250m,26.61501459,25.90695505,25.54933828
State,Temp,rcp85,2081,3,250m,25.63230783,24.50339359,25.12521261
State,Temp,rcp85,2081,4,250m,26.87627319,25.69692716,26.38387705
State,Temp,rcp85,2081,5,250m,27.95368809,26.71915504,27.39163106
State,Temp,rcp85,2081,6,250m,28.74317179,27.5677672,28.36349131
State,Temp,rcp85,2081,7,250m,29.38596363,28.09582307,28.89091899
State,Temp,rcp85,2081,8,250m,30.25623352,28.99091164,29.89391225
State,Temp,rcp85,2081,9,250m,30.64136526,29.45340759,30.08112233
State,Temp,rcp85,2081,10,250m,30.50296292,29.43305182,29.81688334
State,Temp,rcp85,2081,11,250m,29.82017014,28.72091997,28.9259964
State,Temp,rcp85,2081,12,250m,27.65703321,26.53914192,26.89979706
State,Temp,rcp85,2082,1,250m,26.30700331,25.41324821,25.17537587
State,Temp,rcp85,2082,2,250m,25.37651433,24.44846314,24.16272888
State,Temp,rcp85,2082,3,250m,26.10035704,24.95797326,25.02990367
State,Temp,rcp85,2082,4,250m,27.63417419,26.68225555,26.45347239
State,Temp,rcp85,2082,5,250m,28.31774976,27.40342688,27.37623749
State,Temp,rcp85,2082,6,250m,29.74401799,28.51327407,29.27464193
State,Temp,rcp85,2082,7,250m,30.25004214,29.00741954,29.75061442
State,Temp,rcp85,2082,8,250m,30.62973625,29.45601289,30.13910319
