Model,Parameter,Time,Year,Month,Resolution,Ala Wai Canal,NOAA USC00516122 (Manoa),NOAA USW00022521 (HNL)
State,Temp,rcp85,2082,9,250m,30.78884775,29.65618456,30.43435059
State,Temp,rcp85,2082,10,250m,30.53901471,29.4543364,29.90950165
State,Temp,rcp85,2082,11,250m,28.38299427,27.32339788,27.63134664
State,Temp,rcp85,2082,12,250m,27.2262247,26.32858118,26.29619242
State,Temp,rcp85,2083,1,250m,26.00935113,25.18714053,24.71472829
State,Temp,rcp85,2083,2,250m,25.72849927,24.74878246,24.46384837
State,Temp,rcp85,2083,3,250m,25.97582516,24.86562274,25.08177338
State,Temp,rcp85,2083,4,250m,27.16574413,25.98294523,26.5498113
State,Temp,rcp85,2083,5,250m,27.55306513,26.38368082,26.73689677
State,Temp,rcp85,2083,6,250m,29.17689394,27.96916436,28.53510691
State,Temp,rcp85,2083,7,250m,30.01833605,28.79441984,29.54056956
State,Temp,rcp85,2083,8,250m,30.55482585,29.34706948,30.21425527
State,Temp,rcp85,2083,9,250m,30.57354603,29.41638997,29.87115377
State,Temp,rcp85,2083,10,250m,29.72136453,28.64094545,28.90706787
State,Temp,rcp85,2083,11,250m,27.91521394,26.8327304,27.09210103
State,Temp,rcp85,2083,12,250m,26.51758575,25.45101354,25.63316243
State,Temp,rcp85,2084,1,250m,25.87472589,24.90913352,24.86166534
State,Temp,rcp85,2084,2,250m,25.9172495,24.99117379,25.10502014
State,Temp,rcp85,2084,3,250m,26.232094,25.22476415,25.49033508
State,Temp,rcp85,2084,4,250m,26.83794013,25.62851604,26.32531128
State,Temp,rcp85,2084,5,250m,27.98101313,26.83277079,27.43651733
State,Temp,rcp85,2084,6,250m,29.04569186,27.80101701,28.68660126
State,Temp,rcp85,2084,7,250m,29.84770513,28.57383106,29.5127299
State,Temp,rcp85,2084,8,250m,30.80570321,29.58453371,30.53298594
State,Temp,rcp85,2084,9,250m,30.42752974,29.21414023,29.9490092
State,Temp,rcp85,2084,10,250m,29.98292265,28.9397921,29.37344004
State,Temp,rcp85,2084,11,250m,28.34592975,27.18843845,27.99474996
State,Temp,rcp85,2084,12,250m,26.82069047,25.77894523,25.85836436
State,Temp,rcp85,2085,1,250m,26.03302015,25.19824439,25.2068217
State,Temp,rcp85,2085,2,250m,25.85380162,25.05981057,24.74225769
State,Temp,rcp85,2085,3,250m,26.720767,25.85616357,25.55112101
State,Temp,rcp85,2085,4,250m,26.81415829,25.65696971,26.0943339
State,Temp,rcp85,2085,5,250m,27.74221966,26.60264712,27.00884145
State,Temp,rcp85,2085,6,250m,28.94440072,27.7497753,28.41398265
State,Temp,rcp85,2085,7,250m,29.82439647,28.55664345,29.49142354
State,Temp,rcp85,2085,8,250m,30.42088945,29.16988838,29.96092885
State,Temp,rcp85,2085,9,250m,30.80738043,29.72602296,30.10248973
State,Temp,rcp85,2085,10,250m,30.16015757,28.98561109,29.60249481
State,Temp,rcp85,2085,11,250m,29.40804178,28.55869344,28.50775045
State,Temp,rcp85,2085,12,250m,28.62887328,27.79411845,27.46272939
State,Temp,rcp85,2086,1,250m,27.67555186,26.80630738,26.84709829
State,Temp,rcp85,2086,2,250m,25.59853629,24.62299304,24.75010071
State,Temp,rcp85,2086,3,250m,25.87656804,24.86433339,24.79283549
State,Temp,rcp85,2086,4,250m,28.11646397,27.09451057,27.24936574
State,Temp,rcp85,2086,5,250m,29.00226887,27.93866423,28.23864136
State,Temp,rcp85,2086,6,250m,30.07388227,28.8843018,29.5443868
State,Temp,rcp85,2086,7,250m,30.29082647,29.02874287,29.93186086
State,Temp,rcp85,2086,8,250m,31.23974781,30.0423269,30.66565857
State,Temp,rcp85,2086,9,250m,31.2983976,30.18653613,30.70184479
State,Temp,rcp85,2086,10,250m,30.85804944,29.88520351,30.2921107
State,Temp,rcp85,2086,11,250m,28.65647745,27.63143246,27.90813599
State,Temp,rcp85,2086,12,250m,27.20015952,26.3205566,26.59484507
State,Temp,rcp85,2087,1,250m,26.25649876,25.44961352,25.25886943
State,Temp,rcp85,2087,2,250m,27.0152976,26.17400241,25.9417511
State,Temp,rcp85,2087,3,250m,27.11328639,26.26518251,26.12864583
State,Temp,rcp85,2087,4,250m,27.89535886,26.82998026,27.00264893
State,Temp,rcp85,2087,5,250m,27.7382795,26.72613107,26.84693553
State,Temp,rcp85,2087,6,250m,29.55327553,28.26423114,29.04173686
State,Temp,rcp85,2087,7,250m,30.13849898,28.84604441,29.77823283
State,Temp,rcp85,2087,8,250m,30.93421674,29.67644604,30.30346069
State,Temp,rcp85,2087,9,250m,30.89808033,29.71558418,30.23515981
State,Temp,rcp85,2087,10,250m,30.22997082,29.06823987,29.47985484
State,Temp,rcp85,2087,11,250m,28.00817939,26.92201762,27.21105601
State,Temp,rcp85,2087,12,250m,26.47159053,25.37890442,25.62032979
State,Temp,rcp85,2088,1,250m,25.94030541,25.19013414,24.4296229
State,Temp,rcp85,2088,2,250m,25.86754344,24.97634226,24.77766571
State,Temp,rcp85,2088,3,250m,26.96775824,26.0778164,25.9444341
State,Temp,rcp85,2088,4,250m,26.34636426,25.10997878,25.76738637
State,Temp,rcp85,2088,5,250m,26.52105025,25.31150893,26.1144221
State,Temp,rcp85,2088,6,250m,27.87104967,26.63731313,27.35337982
State,Temp,rcp85,2088,7,250m,28.59452714,27.30438833,28.09771881
State,Temp,rcp85,2088,8,250m,29.95888613,28.6692165,29.46428579
State,Temp,rcp85,2088,9,250m,29.60302881,28.35667453,28.95616557
State,Temp,rcp85,2088,10,250m,28.87699572,27.65975805,28.27668915
State,Temp,rcp85,2088,11,250m,28.04656265,26.88928995,27.34362183
State,Temp,rcp85,2088,12,250m,26.93146829,25.99509194,26.22954966
State,Temp,rcp85,2089,1,250m,26.48444858,25.56036232,25.5890976
State,Temp,rcp85,2089,2,250m,26.02027708,25.10813393,25.31574656
State,Temp,rcp85,2089,3,250m,25.96224311,24.77998495,25.33825582
State,Temp,rcp85,2089,4,250m,26.19884321,24.98373886,25.61283518
State,Temp,rcp85,2089,5,250m,27.68198278,26.66229954,26.96289978
State,Temp,rcp85,2089,6,250m,28.20035263,26.94891028,27.54533539
State,Temp,rcp85,2089,7,250m,28.77149773,27.50439182,28.31230316
State,Temp,rcp85,2089,8,250m,29.67446406,28.38861472,29.09613953
State,Temp,rcp85,2089,9,250m,29.69968392,28.49933242,28.92110087
State,Temp,rcp85,2089,10,250m,29.17197648,28.00140277,28.34228668
State,Temp,rcp85,2089,11,250m,27.92601678,26.76037332,27.19032694
State,Temp,rcp85,2089,12,250m,26.99232176,26.0784926,26.14491679
State,Temp,rcp85,2090,1,250m,25.90645168,24.92032614,24.86144663
State,Temp,rcp85,2090,2,250m,26.53339812,25.64432772,25.75283712
State,Temp,rcp85,2090,3,250m,26.87055574,25.93890034,26.06596781
State,Temp,rcp85,2090,4,250m,25.91610867,24.71361892,25.28910217
State,Temp,rcp85,2090,5,250m,27.74809356,26.55495304,26.93772278
State,Temp,rcp85,2090,6,250m,28.95145665,27.76839029,28.22671916
State,Temp,rcp85,2090,7,250m,29.45099338,28.18308273,29.09468994
State,Temp,rcp85,2090,8,250m,30.05908418,28.79324723,29.67339478
State,Temp,rcp85,2090,9,250m,30.24357859,29.12888259,29.44794362
State,Temp,rcp85,2090,10,250m,29.41470171,28.22140284,28.93887736
State,Temp,rcp85,2090,11,250m,28.0174326,26.86738507,27.36481883
State,Temp,rcp85,2090,12,250m,27.39026427,26.50999078,26.21777496
State,Temp,rcp85,2091,1,250m,26.81261182,26.00478361,25.78243917
State,Temp,rcp85,2091,2,250m,26.64532222,25.71120095,25.65792745
State,Temp,rcp85,2091,3,250m,26.43027227,25.43402395,25.37969106
State,Temp,rcp85,2091,4,250m,27.03869638,25.94466735,26.43959198
State,Temp,rcp85,2091,5,250m,27.87379305,26.70957169,27.13651428
State,Temp,rcp85,2091,6,250m,28.83165244,27.58776452,28.24117177
State,Temp,rcp85,2091,7,250m,29.49422543,28.23330602,29.05246124
State,Temp,rcp85,2091,8,250m,29.9284788,28.68751002,29.44514109
State,Temp,rcp85,2091,9,250m,30.30791006,29.11038781,29.61648966
State,Temp,rcp85,2091,10,250m,29.23386521,28.06275842,28.68672078
State,Temp,rcp85,2091,11,250m,28.2644387,27.22970651,27.34667613
State,Temp,rcp85,2091,12,250m,27.34135226,26.39021103,26.72275187
State,Temp,rcp85,2092,1,250m,26.81926565,25.84500003,25.99335378
State,Temp,rcp85,2092,2,250m,26.06845722,25.07469464,25.04554901
State,Temp,rcp85,2092,3,250m,26.23904566,25.37908208,25.32800446
State,Temp,rcp85,2092,4,250m,27.91141145,26.95002268,27.06960195
State,Temp,rcp85,2092,5,250m,28.20834166,26.97950068,27.53961589
State,Temp,rcp85,2092,6,250m,29.16002872,27.98863245,28.56981557
State,Temp,rcp85,2092,7,250m,29.23170558,27.96055918,28.77434947
State,Temp,rcp85,2092,8,250m,30.13244827,28.90828942,29.67643636
State,Temp,rcp85,2092,9,250m,29.92992324,28.81399996,29.22684631
State,Temp,rcp85,2092,10,250m,29.51350337,28.45137902,28.76672007
State,Temp,rcp85,2092,11,250m,28.21899992,27.19080641,27.10787354
State,Temp,rcp85,2092,12,250m,26.7452632,25.73890449,25.74087423
State,Temp,rcp85,2093,1,250m,26.11556088,25.3251387,25.04306691
State,Temp,rcp85,2093,2,250m,25.60608398,24.6702107,24.39364777
State,Temp,rcp85,2093,3,250m,27.37913474,26.52322672,26.21340586
State,Temp,rcp85,2093,4,250m,27.24367367,26.18704565,26.59129486
State,Temp,rcp85,2093,5,250m,28.1899152,27.04575941,27.5137675
State,Temp,rcp85,2093,6,250m,29.13396742,28.02422129,28.38825378
State,Temp,rcp85,2093,7,250m,29.66764298,28.41979202,29.28045553
State,Temp,rcp85,2093,8,250m,30.49213061,29.20575562,30.16120555
State,Temp,rcp85,2093,9,250m,30.9365347,29.80378118,30.42742055
State,Temp,rcp85,2093,10,250m,30.36699669,29.42099434,29.53674723
State,Temp,rcp85,2093,11,250m,28.67520969,27.68481001,27.94559631
State,Temp,rcp85,2093,12,250m,26.880717,25.82612557,25.82777812
State,Temp,rcp85,2094,1,250m,26.87993548,26.09443559,25.75955353
State,Temp,rcp85,2094,2,250m,27.30197134,26.4334882,26.29464874
State,Temp,rcp85,2094,3,250m,26.69880964,25.59951741,25.80186361
State,Temp,rcp85,2094,4,250m,27.36927637,26.23432191,26.60075785
State,Temp,rcp85,2094,5,250m,28.96789662,27.95303126,28.32011058
State,Temp,rcp85,2094,6,250m,29.73977139,28.47662112,29.20502625
State,Temp,rcp85,2094,7,250m,30.06122704,28.7944714,29.71034902
State,Temp,rcp85,2094,8,250m,31.25566116,29.97082776,30.87282969
State,Temp,rcp85,2094,9,250m,31.62810222,30.38326203,31.14473368
State,Temp,rcp85,2094,10,250m,30.7273213,29.60241426,30.091745
State,Temp,rcp85,2094,11,250m,29.81685529,28.82894801,29.01953023
State,Temp,rcp85,2094,12,250m,27.71545698,26.73742712,26.66801605
State,Temp,rcp85,2095,1,250m,27.07877096,26.21743275,26.13764089
State,Temp,rcp85,2095,2,250m,26.3680682,25.27675875,25.17064311
State,Temp,rcp85,2095,3,250m,26.18319276,25.27526791,25.30238495
State,Temp,rcp85,2095,4,250m,27.33869141,26.15228923,26.73752492
State,Temp,rcp85,2095,5,250m,28.76689798,27.57301197,27.95900625
State,Temp,rcp85,2095,6,250m,29.32032265,28.06893239,28.9031311
State,Temp,rcp85,2095,7,250m,29.75575115,28.49338021,29.38969065
State,Temp,rcp85,2095,8,250m,30.55970335,29.34207803,29.97267303
State,Temp,rcp85,2095,9,250m,30.94724856,29.7358765,30.60002289
State,Temp,rcp85,2095,10,250m,29.62839001,28.44564411,29.08620097
State,Temp,rcp85,2095,11,250m,28.48968302,27.44130579,27.878567
State,Temp,rcp85,2095,12,250m,27.67747886,26.8941813,26.67153066
State,Temp,rcp85,2096,1,250m,27.01191757,26.13386068,26.10574493
State,Temp,rcp85,2096,2,250m,25.77254593,24.83857448,24.97226105
State,Temp,rcp85,2096,3,250m,27.21659668,26.32204255,26.58470306
State,Temp,rcp85,2096,4,250m,26.41424308,25.18479119,25.76167959
State,Temp,rcp85,2096,5,250m,27.24892337,26.08624592,26.48826497
State,Temp,rcp85,2096,6,250m,29.18177908,27.99459959,28.52473857
State,Temp,rcp85,2096,7,250m,29.76001414,28.51070709,29.29186401
State,Temp,rcp85,2096,8,250m,30.24157059,29.03355074,29.72297058
State,Temp,rcp85,2096,9,250m,30.40703884,29.20300014,29.86947784
State,Temp,rcp85,2096,10,250m,30.20223536,29.22094094,29.33737844
State,Temp,rcp85,2096,11,250m,29.20506292,28.2246003,28.30757039
State,Temp,rcp85,2096,12,250m,27.82256943,26.79664642,26.8933019
State,Temp,rcp85,2097,1,250m,26.87859539,25.97931055,26.02003377
State,Temp,rcp85,2097,2,250m,26.44585929,25.47323137,25.53657939
State,Temp,rcp85,2097,3,250m,27.31745029,26.41763639,26.44384155
State,Temp,rcp85,2097,4,250m,27.37451954,26.24400266,26.59757385
State,Temp,rcp85,2097,5,250m,28.03957774,26.89417227,27.43101145
State,Temp,rcp85,2097,6,250m,29.30776459,28.07353013,28.91516774
State,Temp,rcp85,2097,7,250m,29.67936833,28.40155966,29.25958405
State,Temp,rcp85,2097,8,250m,30.35173227,29.11788963,29.86356761
State,Temp,rcp85,2097,9,250m,30.32965555,29.08680712,29.79116974
State,Temp,rcp85,2097,10,250m,29.72731442,28.58247656,29.09164581
State,Temp,rcp85,2097,11,250m,28.73193685,27.78497198,27.98436635
State,Temp,rcp85,2097,12,250m,27.89574704,26.95058754,26.95767365
State,Temp,rcp85,2098,1,250m,26.64477645,25.75222788,25.83332469
State,Temp,rcp85,2098,2,250m,26.71963946,25.81525853,26.04010925
State,Temp,rcp85,2098,3,250m,27.52648913,26.61426629,26.72486521
State,Temp,rcp85,2098,4,250m,27.27773029,26.11027001,26.61263936
State,Temp,rcp85,2098,5,250m,28.37291872,27.21107835,27.61492055
State,Temp,rcp85,2098,6,250m,28.90136472,27.70578035,28.26874695
State,Temp,rcp85,2098,7,250m,30.12392028,28.93124182,29.42482147
State,Temp,rcp85,2098,8,250m,29.85266769,28.64547626,29.17520803
State,Temp,rcp85,2098,9,250m,29.86806983,28.738923,29.01126251
State,Temp,rcp85,2098,10,250m,29.57876154,28.43907499,28.84758148
State,Temp,rcp85,2098,11,250m,28.34177161,27.29766599,27.54982656
State,Temp,rcp85,2098,12,250m,27.87130091,27.03088944,27.00622203
State,Temp,rcp85,2099,1,250m,26.68842506,25.72814561,25.63255971
State,Temp,rcp85,2099,2,250m,25.77620793,24.6425684,24.96491903
State,Temp,rcp85,2099,3,250m,25.60734196,24.48764703,24.836262
State,Temp,rcp85,2099,4,250m,26.82576128,25.77578455,26.09775441
State,Temp,rcp85,2099,5,250m,28.60880788,27.48731735,27.53953196
State,Temp,rcp85,2099,6,250m,29.41003674,28.22246205,28.82596486
State,Temp,rcp85,2099,7,250m,29.98857574,28.72088165,29.51134389
State,Temp,rcp85,2099,8,250m,30.54152919,29.35293724,30.13068797
State,Temp,rcp85,2099,9,250m,30.70664074,29.45785172,30.11941172
State,Temp,rcp85,2099,10,250m,30.86549971,29.82564573,30.24614105
State,Temp,rcp85,2099,11,250m,28.56877809,27.34638642,28.0408315
State,Temp,rcp85,2099,12,250m,27.58436172,26.73706522,26.4336436
