latitude,longitude,temperature,salinity,turbidity,time,ts,depth
21.30224037,-157.9092712,23.74260712,34.12947464,-1.07E-19,2019-02-17 20:00:00 HST,1550469600,0.25
21.30129433,-157.9081726,23.7265892,34.11932755,-2.02E-21,2019-02-17 20:00:00 HST,1550469600,0.25
21.30046272,-157.9072266,23.73949814,34.1065712,1.10E-20,2019-02-17 20:00:00 HST,1550469600,0.25
21.29974365,-157.9063873,23.72550392,34.10105896,1.31E-20,2019-02-17 20:00:00 HST,1550469600,0.25
21.29913521,-157.9056854,23.65935707,34.09578323,1.64E-20,2019-02-17 20:00:00 HST,1550469600,0.25
21.29878426,-157.9052887,23.62921906,34.09971619,5.53E-21,2019-02-17 20:00:00 HST,1550469600,0.25
21.29847717,-157.9049377,23.6108017,34.09706879,3.69E-21,2019-02-17 20:00:00 HST,1550469600,0.25
21.29816818,-157.9045868,23.60362816,34.09381104,3.41E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.2978611,-157.9042206,23.59019661,34.09315872,3.18E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29755402,-157.9038696,23.57647514,34.09317017,2.80E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29724693,-157.9035187,23.55973625,34.09222794,2.78E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29693985,-157.9031677,23.54629326,34.09056854,3.09E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29663277,-157.9028168,23.53380013,34.08871841,3.40E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29632568,-157.9024506,23.52526093,34.08907318,3.44E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29601669,-157.9020996,23.51429558,34.08943939,3.10E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29570961,-157.9017487,23.50453377,34.09020996,2.51E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29540253,-157.9013977,23.4924202,34.08919144,1.87E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29509544,-157.9010468,23.47735977,34.08739853,1.21E-31,2019-02-17 20:00:00 HST,1550469600,0.25
21.29478836,-157.9006958,23.46622849,34.08695602,6.49E-32,2019-02-17 20:00:00 HST,1550469600,0.25
21.29448128,-157.9003296,23.45359802,34.08634949,2.76E-32,2019-02-17 20:00:00 HST,1550469600,0.25
21.29417419,-157.8999786,23.44483757,34.08594131,1.02E-32,2019-02-17 20:00:00 HST,1550469600,0.25
21.2938652,-157.8996277,23.43813515,34.08564377,3.38E-33,2019-02-17 20:00:00 HST,1550469600,0.25
21.29355812,-157.8992767,23.4305954,34.08526611,1.16E-33,2019-02-17 20:00:00 HST,1550469600,0.25
21.29325104,-157.8989258,23.42123795,34.08451462,3.66E-34,2019-02-17 20:00:00 HST,1550469600,0.25
21.29294395,-157.8985596,23.41153145,34.0837059,7.32E-35,2019-02-17 20:00:00 HST,1550469600,0.25
21.29263687,-157.8982086,23.40272331,34.08303452,1.71E-35,2019-02-17 20:00:00 HST,1550469600,0.25
21.29232979,-157.8978577,23.39368057,34.08233261,3.68E-36,2019-02-17 20:00:00 HST,1550469600,0.25
21.29202271,-157.8975067,23.3872776,34.08164597,1.65E-36,2019-02-17 20:00:00 HST,1550469600,0.25
21.29171371,-157.8971558,23.3878212,34.08119583,3.55E-37,2019-02-17 20:00:00 HST,1550469600,0.25
21.29140663,-157.8968048,23.38864136,34.08081055,6.94E-38,2019-02-17 20:00:00 HST,1550469600,0.25
21.29109955,-157.8964386,23.3862381,34.08047867,3.52E-39,2019-02-17 20:00:00 HST,1550469600,0.25
21.29079247,-157.8960876,23.38284492,34.08008957,4.90E-40,2019-02-17 20:00:00 HST,1550469600,0.25
21.29048538,-157.8957367,23.37771797,34.07933044,2.57E-40,2019-02-17 20:00:00 HST,1550469600,0.25
21.2901783,-157.8953857,23.3739109,34.0785141,3.48E-41,2019-02-17 20:00:00 HST,1550469600,0.25
21.28987122,-157.8950348,23.37149048,34.07759476,4.52E-42,2019-02-17 20:00:00 HST,1550469600,0.25
21.28956223,-157.8946686,23.37493706,34.07474899,1.22E-43,2019-02-17 20:00:00 HST,1550469600,0.25
21.28925514,-157.8943176,23.37996864,34.07185745,1.40E-44,2019-02-17 20:00:00 HST,1550469600,0.25
21.28894806,-157.8939667,23.38384438,34.07274246,1.40E-45,2019-02-17 20:00:00 HST,1550469600,0.25
21.28864098,-157.8936157,23.3770256,34.07226181,1.40E-45,2019-02-17 20:00:00 HST,1550469600,0.25
21.28833389,-157.8932648,23.36752129,34.07209396,0,2019-02-17 20:00:00 HST,1550469600,0.25
21.28802681,-157.8929138,23.35084343,34.07068253,0,2019-02-17 20:00:00 HST,1550469600,0.25
21.28771973,-157.8925476,23.3404789,34.07187653,0,2019-02-17 20:00:00 HST,1550469600,0.25
